Time,Pitch,Roll
1698,-4.38046,0.0820498
1707,-4.34134,0.0828654
1715,-4.32736,0.0705426
1723,-4.31163,0.0779366
1731,-4.29811,0.0837295
1739,-4.29834,0.0871037
1748,-4.3054,0.0986721
1757,-4.30632,0.0860985
1766,-4.3049,0.0914319
1774,-4.29533,0.11058
1783,-4.27276,0.0997056
1791,-4.24969,0.0922823
1799,-4.24606,0.0846109
1808,-4.25265,0.091644
1816,-4.25658,0.111535
1829,-4.28312,0.117638
1837,-4.29495,0.105238
1845,-4.29568,0.100013
1854,-4.2771,0.100881
1862,-4.25272,0.0911661
1871,-4.218,0.0944811
1885,-4.14667,0.0898548
1893,-4.11336,0.0781108
1902,-4.04552,0.0875864
1910,-3.99935,0.0923842
1919,-3.93017,0.116936
1928,-3.85746,0.124501
1936,-3.77268,0.12836
1945,-3.69991,0.127995
1954,-3.61959,0.121766
1962,-3.52483,0.122749
1971,-3.45985,0.130962
1980,-3.37458,0.126976
1988,-3.31334,0.115254
1997,-3.25922,0.0954983
2005,-3.20099,0.102397
2014,-3.129,0.089163
2023,-3.06456,0.080647
2031,-2.99914,0.0877451
2040,-2.94114,0.0843696
2049,-2.863,0.0949223
2057,-2.79687,0.0944951
2066,-2.73976,0.0947657
2074,-2.67912,0.103471
2083,-2.57439,0.0977695
2092,-2.51689,0.106641
2101,-2.44593,0.11351
2109,-2.36274,0.112493
2118,-2.29001,0.113558
2126,-2.19943,0.122793
2135,-2.11996,0.120153
2144,-2.05988,0.100708
2152,-2.00489,0.0855634
2161,-1.93136,0.0867235
2169,-1.85455,0.0774615
2182,-1.77145,0.0989273
2191,-1.70273,0.101908
2199,-1.64408,0.133276
2208,-1.60686,0.121374
2217,-1.58692,0.117722
2226,-1.59384,0.109171
2235,-1.5809,0.0975214
2243,-1.59922,0.0888737
2252,-1.59227,0.0827123
2261,-1.58935,0.0693172
2269,-1.58144,0.068695
2278,-1.60069,0.0807615
2287,-1.6204,0.0988681
2295,-1.65501,0.079216
2304,-1.66735,0.0838886
2313,-1.67486,0.0820531
2321,-1.67443,0.0926173
2331,-1.64915,0.0835764
2339,-1.61575,0.0953929
2348,-1.58322,0.100409
2356,-1.58318,0.0845662
2365,-1.59627,0.101614
2374,-1.62909,0.101861
2382,-1.65366,0.0889971
2391,-1.65894,0.0848603
2399,-1.6506,0.0713688
2408,-1.61917,0.0730965
2417,-1.54594,0.0697538
2426,-1.45032,0.065541
2434,-1.33562,0.0605926
2443,-1.22034,0.0441794
2452,-1.11411,0.0600561
2461,-1.03021,0.0682795
2469,-0.973487,0.0697788
2478,-0.96287,0.0562643
2491,-0.932366,0.0513974
2499,-0.950089,0.060028
2506,-0.979177,0.0677942
2514,-1.00767,0.0773247
2521,-1.02883,0.0578304
2529,-1.03197,0.0161028
2536,-1.02378,0.0016299
2544,-1.01127,0.00388579
2553,-0.973901,0.00541963
2561,-0.950534,0.0147246
2570,-0.927768,0.00907657
2579,-0.900065,0.0190329
2587,-0.868048,0.0285771
2596,-0.848445,0.0346122
2605,-0.843144,0.0405407
2613,-0.82016,0.0361152
2622,-0.816129,0.0559558
2630,-0.791884,0.052775
2639,-0.765879,0.0564897
2648,-0.756237,0.0470536
2656,-0.735556,0.0457927
2665,-0.713208,0.04155
2674,-0.709558,0.0485169
2682,-0.719566,0.0554251
2691,-0.735893,0.0604549
2699,-0.74487,0.0775435
2708,-0.774772,0.0820855
2717,-0.797867,0.0721427
2727,-0.800445,0.0693963
2735,-0.83564,0.0643979
2744,-0.854412,0.0700053
2753,-0.87492,0.0809943
2761,-0.892232,0.0679522
