Time,Pitch,Error,dError,IntError,ControlSignal
14794,-1.70616,0.118452,2.81698,-0.257931,0
14799,-1.71392,0.11069,-1.47348,-0.257348,1.1069
14804,-1.74372,0.0808909,-6.44133,-0.256973,0.808909
14809,-1.73937,0.0852437,0.831608,-0.256527,0.852437
14814,-1.74409,0.0805277,-0.985344,-0.256142,0.805277
14819,-1.74308,0.0815361,0.18922,-0.255707,0.815361
14824,-1.72986,0.094753,2.53063,-0.255212,0.94753
14829,-1.72796,0.0966495,0.364513,-0.254709,0.966495
14835,-1.73618,0.088428,-1.48198,-0.254219,0.88428
14840,-1.74329,0.0813259,-1.31474,-0.25378,0.813259
14845,-1.74635,0.0782644,-0.601282,-0.253381,0.782644
14851,-1.73174,0.092872,2.74185,-0.252886,0.92872
14856,-1.73545,0.0891612,-0.70546,-0.252417,0.891612
14861,-1.75153,0.0730854,-3.35498,-0.252067,0.730854
14866,-1.74735,0.0772623,0.879011,-0.2517,0.772623
14871,-1.74777,0.0768385,-0.0843773,-0.251314,0.768385
14875,-1.73985,0.084761,1.6935,-0.250917,0.84761
14880,-1.74456,0.0800526,-0.986498,-0.250535,0.800526
14885,-1.75606,0.0685579,-2.16057,-0.250171,0.685579
14891,-1.74076,0.083848,2.79404,-0.249712,0.83848
14896,-1.75958,0.0650327,-3.54106,-0.249366,0.650327
14902,-1.74887,0.0757453,1.97985,-0.248956,0.757453
14907,-1.73008,0.0945371,3.49979,-0.248449,0.945371
14912,-1.72413,0.100481,1.20238,-0.247952,1.00481
14917,-1.73349,0.0911222,-1.98239,-0.247522,0.911222
14922,-1.70893,0.115678,4.95407,-0.246949,1.15678
14927,-1.70339,0.12122,1.10759,-0.246342,1.2122
14931,-1.70701,0.117603,-0.766311,-0.245787,1.17603
14936,-1.71129,0.113324,-0.843564,-0.245212,1.13324
14942,-1.70263,0.121987,1.63119,-0.244564,1.21987
14947,-1.68079,0.143823,4.09064,-0.243797,1.43823
14952,-1.67183,0.152784,1.87471,-0.243066,1.52784
14957,-1.66068,0.163929,2.34538,-0.242287,1.63929
14961,-1.66748,0.157134,-1.4591,-0.241556,1.57134
14966,-1.67427,0.15034,-1.31448,-0.240778,1.5034
14971,-1.68432,0.140289,-2.02567,-0.240082,1.40289
14976,-1.6861,0.138514,-0.356267,-0.239392,1.38514
14982,-1.69287,0.131741,-1.28807,-0.238699,1.31741
14987,-1.69391,0.130703,-0.206089,-0.238041,1.30703
14991,-1.69029,0.134327,0.773709,-0.237412,1.34327
14997,-1.70323,0.121387,-2.4481,-0.23677,1.21387
15002,-1.71369,0.110924,-2.12812,-0.236225,1.10924
15007,-1.71298,0.111638,0.133276,-0.235627,1.11638
15012,-1.72805,0.096561,-2.85856,-0.235118,0.96561
15017,-1.74623,0.0783857,-3.39196,-0.234698,0.783857
15023,-1.74803,0.0765866,-0.337056,-0.234289,0.765866
15028,-1.74926,0.0753542,-0.23412,-0.233892,0.753542
